DEDUPLICATION REPORT (DISCARDED FILES)
========================================
Total Files Discarded: 3974
Breakdown by Source:
  - EXP_BEST: 0
  - EXP_OTHER: 3929
  - AF_TRIMMED: 0
  - AF_RAW: 45

Detailed List:
PDB_ID	Source	Folder
3ITU	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
3AU3	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
7UFY	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
1PI1	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
3JTI	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
4RSU	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
7N2N	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
7QK4	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
4CHB	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
4AT3	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
8FGF	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
4IBT	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
4CAI	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
7VF3	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
2BTP	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
4J5X	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
6I65	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5NK6	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
1TBF	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
6SZE	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5OKT	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
1YTO	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5PWH	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5NOB	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
3JQ5	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
2H4J	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5HBE	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
6O4E	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
9BBB	AF_RAW	/home/ibab/project/alphafold_pdbs(cleaned)
3FZP	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
4I1F	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
7O0B	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
1O4J	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
1ONI	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
1RHK	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
6H7Y	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
2XWC	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
7U2Z	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
6FIT	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5PYY	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
4NDI	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
1HLZ	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5MF7	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
3UIP	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
6AV3	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
1PDG	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
1LE4	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
6US7	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
5PYI	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
6Y9R	EXP_OTHER	/home/ibab/project/Final_docking_pdbs(all_other_tissues)
