FINAL SELECTION REPORT
========================================
Total Unique Structures: 21240
Breakdown by Source:
  - EXP_BEST: 7473
  - EXP_OTHER: 12438
  - AF_TRIMMED: 1131
  - AF_RAW: 198

Detailed List:
PDB_ID	Source	Original_File
2P83	EXP_BEST	clean_2P83.pdb
8DHB	EXP_BEST	clean_8DHB.pdb
7K1E	EXP_BEST	clean_7K1E.pdb
1POE	EXP_BEST	clean_1POE.pdb
5XQH	EXP_BEST	clean_5XQH.pdb
5TZX	EXP_BEST	clean_5TZX.pdb
1JTC	EXP_BEST	clean_1JTC.pdb
2FIC	EXP_BEST	clean_2FIC.pdb
3HPN	EXP_BEST	clean_3HPN.pdb
5JGA	EXP_BEST	clean_5JGA.pdb
2L0B	EXP_BEST	clean_2L0B.pdb
7KQK	EXP_BEST	clean_7KQK.pdb
2Q1L	EXP_BEST	clean_2Q1L.pdb
7ZHP	EXP_BEST	clean_7ZHP.pdb
5UO6	EXP_BEST	clean_5UO6.pdb
7P8P	EXP_BEST	clean_7P8P.pdb
3FAL	EXP_BEST	clean_3FAL.pdb
3NBW	EXP_BEST	clean_3NBW.pdb
2OUN	EXP_BEST	clean_2OUN.pdb
6KO1	EXP_BEST	clean_6KO1.pdb
2E48	EXP_BEST	clean_2E48.pdb
7RKM	EXP_BEST	clean_7RKM.pdb
1M8W	EXP_BEST	clean_1M8W.pdb
5SIN	EXP_BEST	clean_5SIN.pdb
9AYL	EXP_BEST	clean_9AYL.pdb
4W9N	EXP_BEST	clean_4W9N.pdb
6TI6	EXP_BEST	clean_6TI6.pdb
3A7G	EXP_BEST	clean_3A7G.pdb
3V3E	EXP_BEST	clean_3V3E.pdb
8DJC	EXP_BEST	clean_8DJC.pdb
5SEE	EXP_BEST	clean_5SEE.pdb
8P8C	EXP_BEST	clean_8P8C.pdb
7SBN	EXP_BEST	clean_7SBN.pdb
3RJM	EXP_BEST	clean_3RJM.pdb
8GE4	EXP_BEST	clean_8GE4.pdb
3U3R	EXP_BEST	clean_3U3R.pdb
4AEL	EXP_BEST	clean_4AEL.pdb
2AQZ	EXP_BEST	clean_2AQZ.pdb
6NCN	EXP_BEST	clean_6NCN.pdb
2F3F	EXP_BEST	clean_2F3F.pdb
7RWN	EXP_BEST	clean_7RWN.pdb
5AM8	EXP_BEST	clean_5AM8.pdb
1PMN	EXP_BEST	clean_1PMN.pdb
2OHS	EXP_BEST	clean_2OHS.pdb
2LD0	EXP_BEST	clean_2LD0.pdb
5QHH	EXP_BEST	clean_5QHH.pdb
5HU1	EXP_BEST	clean_5HU1.pdb
3ITU	EXP_BEST	clean_3ITU.pdb
3AU3	EXP_BEST	clean_3AU3.pdb
7F8W	EXP_BEST	clean_7F8W.pdb
7UFY	EXP_BEST	clean_7UFY.pdb
1PI1	EXP_BEST	clean_1PI1.pdb
5MR5	EXP_BEST	clean_5MR5.pdb
1G47	EXP_BEST	clean_1G47.pdb
9GAG	EXP_BEST	clean_9GAG.pdb
3JTI	EXP_BEST	clean_3JTI.pdb
4RSU	EXP_BEST	clean_4RSU.pdb
5SGK	EXP_BEST	clean_5SGK.pdb
7N2N	EXP_BEST	clean_7N2N.pdb
3PT3	EXP_BEST	clean_3PT3.pdb
7QK4	EXP_BEST	clean_7QK4.pdb
5R4G	EXP_BEST	clean_5R4G.pdb
4CHB	EXP_BEST	clean_4CHB.pdb
4AT3	EXP_BEST	clean_4AT3.pdb
2MZD	EXP_BEST	clean_2MZD.pdb
8FGF	EXP_BEST	clean_8FGF.pdb
3RTP	EXP_BEST	clean_3RTP.pdb
