Protein_ID,Vina_Score,FlexX_Score,HYDE_Lower_nM,HYDE_Upper_nM,FlexX_Poses,Extracted_ID,Gene_Symbol,Target_Type
clean_6JJR,-7.8,-16.0,28702.342441,2851747.423201,10,6JJR,CHIT1,Novel Off-target
clean_4LRH,-10.0,-15.39,43993.08148,4370972.752742,10,4LRH,FOLR1,Novel Off-target
clean_3HUB,-7.6,-13.21,49839.245481,4951823.71145,10,3HUB,MAPK14,Novel Off-target
clean_6XQP,-8.8,-15.64,59344.842753,5896261.001971,10,6XQP,B2M,Novel Off-target
Q15067,-7.8,-13.11,74838.957285,7435692.889164,10,1506,,Novel Off-target
clean_6G22,-8.4,-13.46,99779.219423,9913655.391066,10,6G22,NT5M,Novel Off-target
clean_4L6C,-8.0,-14.44,106358.280924,10567324.049703,10,4L6C,NT5M,Novel Off-target
clean_4WKH,-9.6,-14.22,150155.726786,14918859.247058,10,4WKH,CHIT1,Novel Off-target
clean_6FXY,-7.8,-19.48,152380.59026,15139912.587643,10,6FXY,PLOD3,Novel Off-target
clean_8B92,-8.1,-14.49,157595.460862,15658040.814712,10,8B92,PPARG,Novel Off-target
clean_6WAU,-7.9,-16.11,212889.241328,21151804.826793,10,6WAU,PHF19,Novel Off-target
clean_2Y74,-7.8,-14.44,232994.74842,23149405.829476,10,2Y74,AOC3,Novel Off-target
clean_2CIJ,-7.8,-13.26,242758.934801,24119535.47686,10,2CIJ,FOLH1,Novel Off-target
clean_9BTY,-8.1,-14.19,365048.335942,36269710.512418,10,9BTY,MR1,Novel Off-target
clean_8TOR,-7.9,-13.05,378231.077763,37579493.854839,10,8TOR,ACE2,Novel Off-target
clean_4FAL,-8.3,-13.07,409513.740225,40687611.328236,10,4FAL,AKR1C3,Novel Off-target
clean_6ETY,-8.2,-13.44,411782.288717,40913005.033651,10,6ETY,FOLH1,Novel Off-target
clean_3HMV,-7.6,-14.65,419543.115749,41684089.084873,10,3HMV,PDE4B,Novel Off-target
clean_5SH8,-7.8,-13.48,478555.714575,47547339.688367,10,5SH8,PDE10A,Novel Off-target
clean_5SHK,-7.8,-14.81,484585.262697,48146410.943786,10,5SHK,PDE10A,Novel Off-target
clean_8TRT,-7.7,-15.36,517613.154253,51427927.246205,10,8TRT,EPHA2,Novel Off-target
clean_8B95,-8.2,-17.46,633764.700778,62968270.135788,10,8B95,NCOR2,Novel Off-target
clean_5SF4,-8.0,-13.92,1214687.526684,120686387.577063,10,5SF4,PDE10A,Novel Off-target
clean_6U9M,-7.7,-13.14,2652873.420472,263578659.352876,10,6U9M,KMT2A,Novel Off-target
clean_5DNR,-8.4,-13.43,2961550.203188,294247522.757268,10,5DNR,AURKA,Novel Off-target
clean_4J22,-7.8,-14.34,3050110.084701,303046470.593117,10,4J22,TNKS2,Novel Off-target
clean_4WQ6,-8.4,-13.16,3670350.295849,364671002.720946,10,4WQ6,NAMPT,Novel Off-target
clean_4R8Q,-7.6,-13.22,3998608.651056,397285411.127809,10,4R8Q,BUB1,Novel Off-target
clean_2OR4,-8.2,-15.26,4504090.425831,447508014.096441,10,2OR4,FOLH1,Novel Off-target
clean_3WHW,-8.6,-14.73,5567202.545408,553134488.792687,10,3WHW,NUDT1,Novel Off-target
clean_4J3M,-8.0,-15.04,7417172.758306,736939967.333667,10,4J3M,TNKS2,Novel Off-target
clean_4P4F,-8.3,-13.65,8951823.955799,889416637.38058,10,4P4F,FOLH1,Novel Off-target
clean_6F5L,-8.4,-13.57,15425205.174924,1532585335.15948,10,6F5L,FOLH1,Novel Off-target
clean_4P45,-8.0,-16.08,24865515.742784,2470536005.609734,10,4P45,FOLH1,Novel Off-target
clean_2AEC,-7.7,-13.36,134418288.430779,13355251699.416037,10,2AEC,B4GALT1,Novel Off-target
clean_2JBK,-8.2,-15.35,140757173.470702,13985057406.586847,10,2JBK,FOLH1,Novel Off-target
clean_1XOX,-7.7,-15.11,162907007.86987,16185774414.329485,10,1XOX,BIRC5,Novel Off-target
clean_5CBX,-7.8,-14.39,322314392.919091,32023840610.019867,10,5CBX,NR3C1,Novel Off-target
clean_4WKF,-9.7,-14.53,706121448.743746,70157340853.10426,10,4WKF,CHIT1,Novel Off-target
