Filename,Folder,Format,UniProt_ID,PDB_ID,Has_Match_In_Other_Folder
clean_P35504.pdb,AlphaFold,PDB,clean_P35504,N/A,False
clean_Q9BYG0.pdb,AlphaFold,PDB,clean_Q9BYG0,N/A,False
clean_Q8TCT6.pdb,AlphaFold,PDB,clean_Q8TCT6,N/A,False
clean_A0A590UK83.pdb,AlphaFold,PDB,clean_A0A590UK83,N/A,False
clean_Q9NZM6.pdb,AlphaFold,PDB,clean_Q9NZM6,N/A,False
clean_Q15049.pdb,AlphaFold,PDB,clean_Q15049,N/A,False
clean_Q9Y394.pdb,AlphaFold,PDB,clean_Q9Y394,N/A,False
clean_Q92765.pdb,AlphaFold,PDB,clean_Q92765,N/A,False
clean_Q9HAW7.pdb,AlphaFold,PDB,clean_Q9HAW7,N/A,False
clean_O14594.pdb,AlphaFold,PDB,clean_O14594,N/A,False
clean_Q96Q89.pdb,AlphaFold,PDB,clean_Q96Q89,N/A,False
clean_O00626.pdb,AlphaFold,PDB,clean_O00626,N/A,False
clean_Q8IUQ0.pdb,AlphaFold,PDB,clean_Q8IUQ0,N/A,False
clean_Q5GLZ8.pdb,AlphaFold,PDB,clean_Q5GLZ8,N/A,False
clean_Q15349.pdb,AlphaFold,PDB,clean_Q15349,N/A,False
clean_Q9NZ53.pdb,AlphaFold,PDB,clean_Q9NZ53,N/A,False
clean_Q9P227.pdb,AlphaFold,PDB,clean_Q9P227,N/A,False
clean_Q13685.pdb,AlphaFold,PDB,clean_Q13685,N/A,False
clean_Q5BLP8.pdb,AlphaFold,PDB,clean_Q5BLP8,N/A,False
clean_Q6PFW1.pdb,AlphaFold,PDB,clean_Q6PFW1,N/A,False
clean_P27695.pdb,AlphaFold,PDB,clean_P27695,N/A,False
clean_P0DW13.pdb,AlphaFold,PDB,clean_P0DW13,N/A,False
clean_Q7Z7A4.pdb,AlphaFold,PDB,clean_Q7Z7A4,N/A,False
clean_Q9NPJ6.pdb,AlphaFold,PDB,clean_Q9NPJ6,N/A,False
