From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism
CREG2	Q8IUH2	reviewed	CREG2_HUMAN	Protein CREG2 (Cellular repressor of E1A-stimulated genes 2)	CREG2	Homo sapiens (Human)
CRLF3	Q8IUI8	reviewed	CRLF3_HUMAN	Cytokine receptor-like factor 3 (Cytokine receptor-like molecule 9) (CREME-9) (Cytokine receptor-related protein 4) (Type I cytokine receptor-like factor p48)	CRLF3 CREME9 CRLM9 CYTOR4 P48	Homo sapiens (Human)
PLXDC1	Q8IUK5	reviewed	PLDX1_HUMAN	Plexin domain-containing protein 1 (Tumor endothelial marker 3) (Tumor endothelial marker 7)	PLXDC1 TEM3 TEM7	Homo sapiens (Human)
NPAS4	Q8IUM7	reviewed	NPAS4_HUMAN	Neuronal PAS domain-containing protein 4 (Neuronal PAS4) (Class E basic helix-loop-helix protein 79) (bHLHe79) (HLH-PAS transcription factor NXF) (PAS domain-containing protein 10)	NPAS4 BHLHE79 NXF PASD10	Homo sapiens (Human)
CLVS1	Q8IUQ0	reviewed	CLVS1_HUMAN	Clavesin-1 (Cellular retinaldehyde-binding protein-like) (Retinaldehyde-binding protein 1-like 1) (clathrin vesicle-associated Sec14 protein 1)	CLVS1 CRALBPL RLBP1L1	Homo sapiens (Human)
HID1	Q8IV36	reviewed	HID1_HUMAN	Protein HID1 (Down-regulated in multiple cancers 1) (HID1 domain-containing protein) (Protein hid-1 homolog)	HID1 C17orf28 DMC1	Homo sapiens (Human)
SLC9A9	Q8IVB4	reviewed	SL9A9_HUMAN	Sodium/hydrogen exchanger 9 (Na(+)/H(+) exchanger 9) (NHE-9) (Solute carrier family 9 member 9)	SLC9A9 NHE9 Nbla00118	Homo sapiens (Human)
DNAH10	Q8IVF4	reviewed	DYH10_HUMAN	Dynein axonemal heavy chain 10 (Axonemal beta dynein heavy chain 10) (Ciliary dynein heavy chain 10)	DNAH10 KIAA2017	Homo sapiens (Human)
FHOD3	Q8IVF7	reviewed	FMNL3_HUMAN	Formin-like protein 3 (Formin homology 2 domain-containing protein 3) (WW domain-binding protein 3) (WBP-3)	FMNL3 FHOD3 FRL2 KIAA2014 WBP3	Homo sapiens (Human)
NAV3	Q8IVL0	reviewed	NAV3_HUMAN	Neuron navigator 3 (Pore membrane and/or filament-interacting-like protein 1) (Steerin-3) (Unc-53 homolog 3) (unc53H3)	NAV3 KIAA0938 POMFIL1 STEERIN3	Homo sapiens (Human)
SLITRK4	Q8IW52	reviewed	SLIK4_HUMAN	SLIT and NTRK-like protein 4	SLITRK4	Homo sapiens (Human)
ITPRIP	Q8IWB1	reviewed	IPRI_HUMAN	Inositol 1,4,5-trisphosphate receptor-interacting protein (Protein DANGER)	ITPRIP DANGER KIAA1754	Homo sapiens (Human)
SKIP	Q8IWE5	reviewed	PKHM2_HUMAN	Pleckstrin homology domain-containing family M member 2 (PH domain-containing family M member 2) (Salmonella-induced filaments A and kinesin-interacting protein) (SifA and kinesin-interacting protein)	PLEKHM2 KIAA0842 SKIP	Homo sapiens (Human)
PSAP	Q8IWL1	reviewed	SFPA2_HUMAN	Pulmonary surfactant-associated protein A2 (PSP-A) (PSPA) (SP-A) (SP-A2) (35 kDa pulmonary surfactant-associated protein) (Alveolar proteinosis protein) (Collectin-5)	SFTPA2 COLEC5 PSAP SFTP1 SFTPA SFTPA2B	Homo sapiens (Human)
PSAP	Q8IWL2	reviewed	SFTA1_HUMAN	Pulmonary surfactant-associated protein A1 (PSP-A) (PSPA) (SP-A) (SP-A1) (35 kDa pulmonary surfactant-associated protein) (Alveolar proteinosis protein) (Collectin-4)	SFTPA1 COLEC4 PSAP SFTP1 SFTPA SFTPA1B	Homo sapiens (Human)
STH	Q8IWL8	reviewed	STH_HUMAN	Saitohin	STH	Homo sapiens (Human)
LMTK2	Q8IWU2	reviewed	LMTK2_HUMAN	Serine/threonine-protein kinase LMTK2 (EC 2.7.11.1) (Apoptosis-associated tyrosine kinase 2) (Brain-enriched kinase) (hBREK) (CDK5/p35-regulated kinase) (CPRK) (Kinase/phosphatase/inhibitor 2) (Lemur tyrosine kinase 2) (Serine/threonine-protein kinase KPI-2)	LMTK2 AATYK2 BREK KIAA1079 KPI2 LMR2	Homo sapiens (Human)
ZNT8	Q8IWU4	reviewed	ZNT8_HUMAN	Proton-coupled zinc antiporter SLC30A8 (Solute carrier family 30 member 8) (Zinc transporter 8) (ZnT-8)	SLC30A8 ZNT8	Homo sapiens (Human)
SULF2	Q8IWU5	reviewed	SULF2_HUMAN	Extracellular sulfatase Sulf-2 (hSulf-2) (Arylsulfatase) (EC 3.1.6.1) (N-acetylglucosamine-6-sulfatase) (EC 3.1.6.14) [Cleaved into: Extracellular sulfatase Sulf-2 secreted form]	SULF2 KIAA1247 UNQ559/PRO1120	Homo sapiens (Human)
CNTN4	Q8IWV2	reviewed	CNTN4_HUMAN	Contactin-4 (Brain-derived immunoglobulin superfamily protein 2) (BIG-2)	CNTN4	Homo sapiens (Human)
SGPP2	Q8IWX5	reviewed	SGPP2_HUMAN	Sphingosine-1-phosphate phosphatase 2 (SPPase2) (Spp2) (hSPP2) (EC 3.1.3.-) (Sphingosine-1-phosphatase 2)	SGPP2	Homo sapiens (Human)
CHERP	Q8IWX8	reviewed	CHERP_HUMAN	Calcium homeostasis endoplasmic reticulum protein (ERPROT 213-21) (SR-related CTD-associated factor 6)	CHERP DAN26 SCAF6	Homo sapiens (Human)
ANKHD1	Q8IWZ3	reviewed	ANKH1_HUMAN	Ankyrin repeat and KH domain-containing protein 1 (HIV-1 Vpr-binding ankyrin repeat protein) (Multiple ankyrin repeats single KH domain) (hMASK)	ANKHD1 KIAA1085 MASK VBARP PP2500	Homo sapiens (Human)
BBS7	Q8IWZ6	reviewed	BBS7_HUMAN	BBSome complex member BBS7 (BBS2-like protein 1) (Bardet-Biedl syndrome 7 protein)	BBS7 BBS2L1	Homo sapiens (Human)
TRARG1	Q8IXB3	reviewed	TARG1_HUMAN	Trafficking regulator of GLUT4 1 (Dispanin subfamily B member 1) (DSPB1) (Interferon-induced transmembrane domain-containing protein D3) (Protein located at seventeen-p-thirteen point three 1) (Tumor suppressor candidate 5)	TRARG1 IFITMD3 LOST1 TUSC5	Homo sapiens (Human)
NPAS3	Q8IXF0	reviewed	NPAS3_HUMAN	Neuronal PAS domain-containing protein 3 (Neuronal PAS3) (Basic-helix-loop-helix-PAS protein MOP6) (Class E basic helix-loop-helix protein 12) (bHLHe12) (Member of PAS protein 6) (PAS domain-containing protein 6)	NPAS3 BHLHE12 MOP6 PASD6	Homo sapiens (Human)
PNPLA6	Q8IY17	reviewed	PLPL6_HUMAN	Patatin-like phospholipase domain-containing protein 6 (EC 3.1.1.5) (Neuropathy target esterase)	PNPLA6 NTE	Homo sapiens (Human)
DDX60	Q8IY21	reviewed	DDX60_HUMAN	Probable ATP-dependent RNA helicase DDX60 (EC 3.6.4.13) (DEAD box protein 60)	DDX60	Homo sapiens (Human)
CMIP	Q8IY22	reviewed	CMIP_HUMAN	C-Maf-inducing protein (c-Mip) (Truncated c-Maf-inducing protein) (Tc-Mip)	CMIP KIAA1694 TCMIP	Homo sapiens (Human)
PLPP6	Q8IY26	reviewed	PLPP6_HUMAN	Polyisoprenoid diphosphate/phosphate phosphohydrolase PLPP6 (EC 3.1.3.-) (EC 3.6.1.-) (EC 3.6.1.68) (Lipid phosphatase-related protein-B) (LPRP-B) (PA-PSP) (Phosphatidic acid phosphatase type 2 domain-containing protein 2) (PPAP2 domain-containing protein 2) (Phospholipid phosphatase 6) (Presqualene diphosphate phosphatase) (Type 1 polyisoprenoid diphosphate phosphatase)	PLPP6 PDP1 PPAPDC2	Homo sapiens (Human)
MMD2	Q8IY49	reviewed	PAQRA_HUMAN	Monocyte to macrophage differentiation factor 2 (Progestin and adipoQ receptor family member 10) (Progestin and adipoQ receptor family member X)	MMD2 PAQR10	Homo sapiens (Human)
PEX5L	Q8IYB4	reviewed	PEX5R_HUMAN	PEX5-related protein (PEX2-related protein) (PEX5-like protein) (Peroxin-5-related protein) (Peroxisome biogenesis factor 5-like) (Tetratricopeptide repeat-containing Rab8b-interacting protein) (Pex5Rp) (TRIP8b)	PEX5L PEX5R PXR2	Homo sapiens (Human)
PIANP	Q8IYJ0	reviewed	PIANP_HUMAN	PILR alpha-associated neural protein (PILR-associating neural protein) (Paired immunoglobin-like type 2 receptor-associating neural protein)	PIANP C12orf53 PANP UNQ828/PRO1755	Homo sapiens (Human)
SLP1	Q8IYJ3	reviewed	SYTL1_HUMAN	Synaptotagmin-like protein 1 (Exophilin-7) (Protein JFC1)	SYTL1 SLP1 SB146	Homo sapiens (Human)
COLGALT2	Q8IYK4	reviewed	GT252_HUMAN	Procollagen galactosyltransferase 2 (EC 2.4.1.50) (Collagen beta(1-O)galactosyltransferase 2) (ColGalT 2) (Glycosyltransferase 25 family member 2) (Hydroxylysine galactosyltransferase 2)	COLGALT2 C1orf17 GLT25D2 KIAA0584	Homo sapiens (Human)
TMEFF1	Q8IYR6	reviewed	TEFF1_HUMAN	Tomoregulin-1 (TR-1) (H7365) (Transmembrane protein with EGF-like and one follistatin-like domain)	TMEFF1 C9orf2	Homo sapiens (Human)
TBC1D21	Q8IYX1	reviewed	TBC21_HUMAN	TBC1 domain family member 21 (Male germ cell Rab GTPase-activating protein)	TBC1D21 MGCRABGAP	Homo sapiens (Human)
CHPF	Q8IZ52	reviewed	CHSS2_HUMAN	Chondroitin sulfate synthase 2 (EC 2.4.1.175) (EC 2.4.1.226) (Chondroitin glucuronyltransferase 2) (Chondroitin-polymerizing factor) (ChPF) (Glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase II) (N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase II) (N-acetylgalactosaminyltransferase 2)	CHPF CSS2 UNQ651/PRO1281	Homo sapiens (Human)
NRSN1	Q8IZ57	reviewed	NRSN1_HUMAN	Neurensin-1 (Neuro-p24) (Vesicular membrane protein of 24 kDa) (Vesicular membrane protein p24)	NRSN1 VMP	Homo sapiens (Human)
ELMOD2	Q8IZ81	reviewed	ELMD2_HUMAN	ELMO domain-containing protein 2	ELMOD2	Homo sapiens (Human)
RTKN2	Q8IZC4	reviewed	RTKN2_HUMAN	Rhotekin-2 (Pleckstrin homology domain-containing family K member 1) (PH domain-containing family K member 1)	RTKN2 PLEKHK1	Homo sapiens (Human)
SLC22A15	Q8IZD6	reviewed	S22AF_HUMAN	Solute carrier family 22 member 15 (Fly-like putative transporter 1) (Flipt 1)	SLC22A15 FLIPT1 UNQ9429/PRO34686	Homo sapiens (Human)
XRN1	Q8IZH2	reviewed	XRN1_HUMAN	5'-3' exoribonuclease 1 (EC 3.1.13.-) (Strand-exchange protein 1 homolog)	XRN1 SEP1	Homo sapiens (Human)
UNC5B	Q8IZJ1	reviewed	UNC5B_HUMAN	Netrin receptor UNC5B (Protein unc-5 homolog 2) (Protein unc-5 homolog B) (p53-regulated receptor for death and life protein 1) (p53RDL1)	UNC5B P53RDL1 UNC5H2 UNQ1883/PRO4326	Homo sapiens (Human)
CPAMD8	Q8IZJ3	reviewed	CPMD8_HUMAN	C3 and PZP-like alpha-2-macroglobulin domain-containing protein 8	CPAMD8 KIAA1283	Homo sapiens (Human)
DYNLT2	Q8IZS6	reviewed	DYLT2_HUMAN	Dynein light chain Tctex-type protein 2 (T-complex testis-specific protein 3) (T-complex-associated testis-expressed protein 3) (Tcte-3) (Tctex1 domain-containing protein 3)	DYNLT2 TCTE3 TCTEX1D3	Homo sapiens (Human)
CACNA2D3	Q8IZS8	reviewed	CA2D3_HUMAN	Voltage-dependent calcium channel subunit alpha-2/delta-3 (Voltage-gated calcium channel subunit alpha-2/delta-3) [Cleaved into: Voltage-dependent calcium channel subunit alpha-2-3; Voltage-dependent calcium channel subunit delta-3]	CACNA2D3	Homo sapiens (Human)
DSEL	Q8IZU8	reviewed	DSEL_HUMAN	Dermatan-sulfate epimerase-like protein (EC 5.1.-.-)	DSEL C18orf4 NCAG1	Homo sapiens (Human)
LGI2	Q8N0V4	reviewed	LGI2_HUMAN	Leucine-rich repeat LGI family member 2 (LGI1-like protein 2) (Leucine-rich glioma-inactivated protein 2)	LGI2 KIAA1916 LGIL2	Homo sapiens (Human)
SPAG16	Q8N0X2	reviewed	SPG16_HUMAN	Sperm-associated antigen 16 protein (Pf20 protein homolog)	SPAG16 PF20	Homo sapiens (Human)
CYP4X1	Q8N118	reviewed	CP4X1_HUMAN	Cytochrome P450 4X1 (EC 1.14.14.-) (CYPIVX1)	CYP4X1 UNQ1929/PRO4404	Homo sapiens (Human)
MMP21	Q8N119	reviewed	MMP21_HUMAN	Matrix metalloproteinase-21 (MMP-21) (EC 3.4.24.-)	MMP21	Homo sapiens (Human)
LGI4	Q8N135	reviewed	LGI4_HUMAN	Leucine-rich repeat LGI family member 4 (LGI1-like protein 3) (Leucine-rich glioma-inactivated protein 4)	LGI4 LGIL3 UNQ6515/PRO21485	Homo sapiens (Human)
LGI3	Q8N145	reviewed	LGI3_HUMAN	Leucine-rich repeat LGI family member 3 (LGI1-like protein 4) (Leucine-rich glioma-inactivated protein 3)	LGI3 LGIL4 UNQ8190/PRO23199	Homo sapiens (Human)
DBC1	Q8N163	reviewed	CCAR2_HUMAN	Cell cycle and apoptosis regulator protein 2 (Cell division cycle and apoptosis regulator protein 2) (DBIRD complex subunit KIAA1967) (Deleted in breast cancer gene 1 protein) (DBC-1) (DBC.1) (NET35) (p30 DBC)	CCAR2 DBC1 KIAA1967	Homo sapiens (Human)
SLC67A1-AS	Q8N1D0	reviewed	BWR1B_HUMAN	Uncharacterized protein SLC67A1-AS (Beckwith-Wiedemann syndrome chromosomal region 1 candidate gene B protein) (Organic cation transporter-like protein 2 antisense protein) (SLC67A1 antisense RNA) (Solute carrier family 22 member 1-like antisense protein) (Solute carrier family 22 member 18 antisense protein) (p27-Beckwith-Wiedemann region 1 B) (p27-BWR1B)	SLC67A1-AS BWR1B BWSCR1B ORCTL2S SLC22A18AS SLC22A1LS	Homo sapiens (Human)
MTR1	Q8N1G2	reviewed	CMTR1_HUMAN	Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1 (EC 2.1.1.57) (Cap methyltransferase 1) (Cap1 2'O-ribose methyltransferase 1) (MTr1) (hMTr1) (FtsJ methyltransferase domain-containing protein 2) (Interferon-stimulated gene 95 kDa protein) (ISG95)	CMTR1 FTSJD2 KIAA0082 MTR1	Homo sapiens (Human)
DOCK4	Q8N1I0	reviewed	DOCK4_HUMAN	Dedicator of cytokinesis protein 4	DOCK4 KIAA0716	Homo sapiens (Human)
BEST3	Q8N1M1	reviewed	BEST3_HUMAN	Bestrophin-3 (Vitelliform macular dystrophy 2-like protein 3)	BEST3 VMD2L3	Homo sapiens (Human)
PLD6	Q8N2A8	reviewed	PLD6_HUMAN	Mitochondrial cardiolipin hydrolase (EC 3.1.4.-) (Choline phosphatase 6) (Mitochondrial phospholipase) (MitoPLD) (Phosphatidylcholine-hydrolyzing phospholipase D6) (Phospholipase D6) (PLD6) (Protein zucchini homolog)	PLD6	Homo sapiens (Human)
ARMC10	Q8N2F6	reviewed	ARM10_HUMAN	Armadillo repeat-containing protein 10 (Splicing variant involved in hepatocarcinogenesis protein)	ARMC10 SVH PSEC0198	Homo sapiens (Human)
PELI3	Q8N2H9	reviewed	PELI3_HUMAN	E3 ubiquitin-protein ligase pellino homolog 3 (Pellino-3) (EC 2.3.2.27)	PELI3	Homo sapiens (Human)
TAFA2	Q8N3H0	reviewed	TAFA2_HUMAN	Chemokine-like protein TAFA-2	TAFA2 FAM19A2	Homo sapiens (Human)
GALNT15	Q8N3T1	reviewed	GLT15_HUMAN	Polypeptide N-acetylgalactosaminyltransferase 15 (EC 2.4.1.41) (Polypeptide GalNAc transferase-like protein 2) (GalNAc-T-like protein 2) (pp-GaNTase-like protein 2) (Polypeptide N-acetylgalactosaminyltransferase-like protein 2) (Protein-UDP acetylgalactosaminyltransferase-like protein 2) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase-like protein 2)	GALNT15 GALNTL2 UNQ770/PRO1564	Homo sapiens (Human)
LARGE2	Q8N3Y3	reviewed	LARG2_HUMAN	Xylosyl- and glucuronyltransferase LARGE2 (EC 2.4.-.-) (Glycosyltransferase-like 1B) (LARGE xylosyl- and glucuronyltransferase 2) [Includes: Alpha-1,3-xylosyltransferase LARGE2 (EC 2.4.2.-); Beta-1,3-glucuronyltransferase LARGE2 (EC 2.4.1.-)]	LARGE2 GYLTL1B PP5656	Homo sapiens (Human)
SDR16C5	Q8N3Y7	reviewed	RDHE2_HUMAN	Epidermal retinol dehydrogenase 2 (EPHD-2) (RDH-E2) (EC 1.1.1.105) (Retinal short-chain dehydrogenase reductase 2) (retSDR2) (Short-chain dehydrogenase/reductase family 16C member 5)	SDR16C5 RDHE2	Homo sapiens (Human)
FGFRL1	Q8N441	reviewed	FGRL1_HUMAN	Fibroblast growth factor receptor-like 1 (FGF receptor-like protein 1) (FGF homologous factor receptor) (FGFR-like protein) (Fibroblast growth factor receptor 5) (FGFR-5)	FGFRL1 FGFR5 FHFR UNQ480/PRO943	Homo sapiens (Human)
SFRP1	Q8N474	reviewed	SFRP1_HUMAN	Secreted frizzled-related protein 1 (FRP-1) (sFRP-1) (Secreted apoptosis-related protein 2) (SARP-2)	SFRP1 FRP FRP1 SARP2	Homo sapiens (Human)
PNKD	Q8N490	reviewed	PNKD_HUMAN	Probable thioesterase PNKD (EC 3.1.2.-) (Myofibrillogenesis regulator 1) (MR-1) (Paroxysmal nonkinesiogenic dyskinesia protein) (Trans-activated by hepatitis C virus core protein 2)	PNKD KIAA1184 MR1 TAHCCP2 FKSG19 UNQ2491/PRO5778	Homo sapiens (Human)
MINK1	Q8N4C8	reviewed	MINK1_HUMAN	Misshapen-like kinase 1 (EC 2.7.11.1) (GCK family kinase MiNK) (MAPK/ERK kinase kinase kinase 6) (MEK kinase kinase 6) (MEKKK 6) (Misshapen/NIK-related kinase) (Mitogen-activated protein kinase kinase kinase kinase 6)	MINK1 B55 MAP4K6 MINK YSK2 ZC3	Homo sapiens (Human)
DCLK2	Q8N568	reviewed	DCLK2_HUMAN	Serine/threonine-protein kinase DCLK2 (EC 2.7.11.1) (CaMK-like CREB regulatory kinase 2) (CL2) (CLICK-II) (CLICK2) (Doublecortin domain-containing protein 3B) (Doublecortin-like and CAM kinase-like 2) (Doublecortin-like kinase 2)	DCLK2 DCAMKL2 DCDC3B DCK2	Homo sapiens (Human)
NGEF	Q8N5V2	reviewed	NGEF_HUMAN	Ephexin-1 (Eph-interacting exchange protein) (Neuronal guanine nucleotide exchange factor)	NGEF	Homo sapiens (Human)
IGSF1	Q8N6C5	reviewed	IGSF1_HUMAN	Immunoglobulin superfamily member 1 (IgSF1) (Immunoglobulin-like domain-containing protein 1) (Inhibin-binding protein) (InhBP) (Pituitary gland-specific factor 2) (p120)	IGSF1 IGDC1 KIAA0364 PGSF2	Homo sapiens (Human)
EID2	Q8N6I1	reviewed	EID2_HUMAN	EP300-interacting inhibitor of differentiation 2 (EID-2) (CREBBP/EP300 inhibitor 2) (EID-1-like inhibitor of differentiation 2)	EID2 CRI2	Homo sapiens (Human)
C1orf52	Q8N6N3	reviewed	CA052_HUMAN	UPF0690 protein C1orf52 (BCL10-associated gene protein)	C1orf52 BAG GM117	Homo sapiens (Human)
HORMAD2	Q8N7B1	reviewed	HORM2_HUMAN	HORMA domain-containing protein 2	HORMAD2	Homo sapiens (Human)
POU5F2	Q8N7G0	reviewed	PO5F2_HUMAN	POU domain, class 5, transcription factor 2 (Sperm 1 POU domain transcription factor) (SPRM-1)	POU5F2 SPRM1	Homo sapiens (Human)
SIGLECL1	Q8N7X8	reviewed	SIGL1_HUMAN	SIGLEC family-like protein 1	SIGLECL1 C19orf75	Homo sapiens (Human)
ZNF713	Q8N859	reviewed	ZN713_HUMAN	Zinc finger protein 713	ZNF713	Homo sapiens (Human)
SAMD12	Q8N8I0	reviewed	SAM12_HUMAN	Sterile alpha motif domain-containing protein 12 (SAM domain-containing protein 12)	SAMD12	Homo sapiens (Human)
BMPER	Q8N8U9	reviewed	BMPER_HUMAN	BMP-binding endothelial regulator protein (Bone morphogenetic protein-binding endothelial cell precursor-derived regulator) (Protein crossveinless-2) (hCV2)	BMPER KIAA1965	Homo sapiens (Human)
NECAB1	Q8N987	reviewed	NECA1_HUMAN	N-terminal EF-hand calcium-binding protein 1 (EF-hand calcium-binding protein 1) (Neuronal calcium-binding protein 1)	NECAB1 EFCBP1	Homo sapiens (Human)
RASGEF1A	Q8N9B8	reviewed	RGF1A_HUMAN	Ras-GEF domain-containing family member 1A	RASGEF1A	Homo sapiens (Human)
NAT8L	Q8N9F0	reviewed	NAT8L_HUMAN	N-acetylaspartate synthetase (NAA synthetase) (EC 2.3.1.17) (Camello-like protein 3) (N-acetyltransferase 8-like protein)	NAT8L CML3	Homo sapiens (Human)
SYT14	Q8NB59	reviewed	SYT14_HUMAN	Synaptotagmin-14 (Synaptotagmin XIV) (SytXIV)	SYT14	Homo sapiens (Human)
UNC13C	Q8NB66	reviewed	UN13C_HUMAN	Protein unc-13 homolog C (Munc13-3)	UNC13C	Homo sapiens (Human)
C20orf203	Q8NBC4	reviewed	CT203_HUMAN	Uncharacterized protein C20orf203	C20orf203	Homo sapiens (Human)
TP53I13	Q8NBR0	reviewed	P5I13_HUMAN	Tumor protein p53-inducible protein 13 (Damage-stimulated cytoplasmic protein 1)	TP53I13 DSCP1	Homo sapiens (Human)
RELL2	Q8NC24	reviewed	RELL2_HUMAN	RELT-like protein 2	RELL2 C5orf16 UNQ9423/PRO34565	Homo sapiens (Human)
LEMD2	Q8NC56	reviewed	LEMD2_HUMAN	LEM domain-containing protein 2 (hLEM2)	LEMD2	Homo sapiens (Human)
KCTD6	Q8NC69	reviewed	KCTD6_HUMAN	BTB/POZ domain-containing protein KCTD6 (KCASH3 protein) (Potassium channel tetramerization domain-containing protein 6)	KCTD6	Homo sapiens (Human)
GALNT6	Q8NCL4	reviewed	GALT6_HUMAN	Polypeptide N-acetylgalactosaminyltransferase 6 (EC 2.4.1.41) (Polypeptide GalNAc transferase 6) (GalNAc-T6) (pp-GaNTase 6) (Protein-UDP acetylgalactosaminyltransferase 6) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 6)	GALNT6	Homo sapiens (Human)
ZBTB34	Q8NCN2	reviewed	ZBT34_HUMAN	Zinc finger and BTB domain-containing protein 34	ZBTB34 KIAA1993	Homo sapiens (Human)
GALNT11	Q8NCW6	reviewed	GLT11_HUMAN	Polypeptide N-acetylgalactosaminyltransferase 11 (EC 2.4.1.41) (Polypeptide GalNAc transferase 11) (GalNAc-T11) (pp-GaNTase 11) (Protein-UDP acetylgalactosaminyltransferase 11) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 11)	GALNT11	Homo sapiens (Human)
ABC2	Q8ND04	reviewed	SMG8_HUMAN	Nonsense-mediated mRNA decay factor SMG8 (Amplified in breast cancer gene 2 protein) (Protein smg-8 homolog)	SMG8 ABC2 C17orf71	Homo sapiens (Human)
GIMAP8	Q8ND71	reviewed	GIMA8_HUMAN	GTPase IMAP family member 8 (Immune-associated nucleotide-binding protein 9) (IAN-9) (Protein IanT)	GIMAP8 IAN9 IANT	Homo sapiens (Human)
SLAIN1	Q8ND83	reviewed	SLAI1_HUMAN	SLAIN motif-containing protein 1	SLAIN1 C13orf32	Homo sapiens (Human)
PNMA1	Q8ND90	reviewed	PNMA1_HUMAN	Paraneoplastic antigen Ma1 (37 kDa neuronal protein) (Neuron- and testis-specific protein 1)	PNMA1 MA1	Homo sapiens (Human)
ZNF540	Q8NDQ6	reviewed	ZN540_HUMAN	Zinc finger protein 540	ZNF540 Nbla10512	Homo sapiens (Human)
ST6GALNAC3	Q8NDV1	reviewed	SIA7C_HUMAN	Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3 (EC 2.4.3.7) (GalNAc alpha-2,6-sialyltransferase III) (ST6GalNAc III) (ST6GalNAcIII) (STY) (Sialyltransferase 7C) (SIAT7-C)	ST6GALNAC3 SIAT7C UNQ2787/PRO7177	Homo sapiens (Human)
GLIS3	Q8NEA6	reviewed	GLIS3_HUMAN	Zinc finger protein GLIS3 (GLI-similar 3) (Zinc finger protein 515)	GLIS3 ZNF515	Homo sapiens (Human)
SRFBP1	Q8NEF9	reviewed	SRFB1_HUMAN	Serum response factor-binding protein 1 (SRF-dependent transcription regulation-associated protein) (p49/STRAP)	SRFBP1	Homo sapiens (Human)
DDHD1	Q8NEL9	reviewed	DDHD1_HUMAN	Phospholipase DDHD1 (EC 3.1.1.111) (EC 3.1.1.32) (DDHD domain-containing protein 1) (Phosphatidic acid-preferring phospholipase A1 homolog) (PA-PLA1) (EC 3.1.1.118) (Phospholipid sn-1 acylhydrolase)	DDHD1 KIAA1705	Homo sapiens (Human)
ACVR1C	Q8NER5	reviewed	ACV1C_HUMAN	Activin receptor type-1C (EC 2.7.11.30) (Activin receptor type IC) (ACTR-IC) (Activin receptor-like kinase 7) (ALK-7)	ACVR1C ALK7	Homo sapiens (Human)
ZMIZ2	Q8NF64	reviewed	ZMIZ2_HUMAN	Zinc finger MIZ domain-containing protein 2 (PIAS-like protein Zimp7)	ZMIZ2 KIAA1886 ZIMP7 HRIHFB2007	Homo sapiens (Human)
PRSS33	Q8NF86	reviewed	PRS33_HUMAN	Serine protease 33 (EC 3.4.21.-) (Serine protease EOS)	PRSS33	Homo sapiens (Human)
ANKK1	Q8NFD2	reviewed	ANKK1_HUMAN	Ankyrin repeat and protein kinase domain-containing protein 1 (EC 2.7.11.1) (Protein kinase PKK2) (Sugen kinase 288) (SgK288) (X-kinase)	ANKK1 PKK2 SGK288	Homo sapiens (Human)
SLC24A4	Q8NFF2	reviewed	NCKX4_HUMAN	Sodium/potassium/calcium exchanger 4 (Na(+)/K(+)/Ca(2+)-exchange protein 4) (Solute carrier family 24 member 4)	SLC24A4 NCKX4	Homo sapiens (Human)
GPRC5A	Q8NFJ5	reviewed	RAI3_HUMAN	Retinoic acid-induced protein 3 (G-protein coupled receptor family C group 5 member A) (Phorbol ester induced gene 1) (PEIG-1) (Retinoic acid-induced gene 1 protein) (RAIG-1)	GPRC5A GPCR5A RAI3 RAIG1	Homo sapiens (Human)
PROKR2	Q8NFJ6	reviewed	PKR2_HUMAN	Prokineticin receptor 2 (PK-R2) (G-protein coupled receptor 73-like 1) (G-protein coupled receptor I5E) (GPR73b) (GPRg2)	PROKR2 GPR73L1 PKR2	Homo sapiens (Human)
BHLHE22	Q8NFJ8	reviewed	BHE22_HUMAN	Class E basic helix-loop-helix protein 22 (bHLHe22) (Class B basic helix-loop-helix protein 5) (bHLHb5) (Trinucleotide repeat-containing gene 20 protein)	BHLHE22 BHLHB5 TNRC20	Homo sapiens (Human)
SEF	Q8NFM7	reviewed	I17RD_HUMAN	Interleukin-17 receptor D (IL-17 receptor D) (IL-17RD) (IL17Rhom) (Interleukin-17 receptor-like protein) (Sef homolog) (hSef)	IL17RD IL17RLM SEF UNQ6115/PRO20026	Homo sapiens (Human)
DNER	Q8NFT8	reviewed	DNER_HUMAN	Delta and Notch-like epidermal growth factor-related receptor	DNER BET UNQ262/PRO299	Homo sapiens (Human)
BEST4	Q8NFU0	reviewed	BEST4_HUMAN	Bestrophin-4 (Vitelliform macular dystrophy 2-like protein 2)	BEST4 VMD2L2	Homo sapiens (Human)
CMAS	Q8NFW8	reviewed	NEUA_HUMAN	N-acylneuraminate cytidylyltransferase (EC 2.7.7.43) (CMP-N-acetylneuraminic acid synthase) (CMP-NeuNAc synthase)	CMAS	Homo sapiens (Human)
