From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism
MADH6	O15198	reviewed	SMAD9_HUMAN	Mothers against decapentaplegic homolog 9 (MAD homolog 9) (Mothers against DPP homolog 9) (Madh6) (SMAD family member 9) (SMAD 9) (Smad9)	SMAD9 MADH6 MADH9 SMAD8	Homo sapiens (Human)
INE1	O15225	reviewed	INE1_HUMAN	Putative inactivation escape 1 protein	INE1 DXS6974E	Homo sapiens (Human)
SHOX	O15266	reviewed	SHOX_HUMAN	Short stature homeobox protein (Pseudoautosomal homeobox-containing osteogenic protein) (Short stature homeobox-containing protein)	SHOX PHOG	Homo sapiens (Human)
TM9SF1	O15321	reviewed	TM9S1_HUMAN	Transmembrane 9 superfamily member 1 (MP70 protein family member) (hMP70)	TM9SF1	Homo sapiens (Human)
GPR37	O15354	reviewed	GPR37_HUMAN	Prosaposin receptor GPR37 (Endothelin B receptor-like protein 1) (ETBR-LP-1) (G-protein coupled receptor 37) (Parkin-associated endothelin receptor-like receptor) (PAELR)	GPR37	Homo sapiens (Human)
SOX12	O15370	reviewed	SOX12_HUMAN	Transcription factor SOX-12 (Protein SOX-22)	SOX12 SOX22	Homo sapiens (Human)
STX7	O15400	reviewed	STX7_HUMAN	Syntaxin-7	STX7	Homo sapiens (Human)
MCT7	O15403	reviewed	MOT7_HUMAN	Monocarboxylate transporter 7 (MCT 7) (Monocarboxylate transporter 6) (MCT 6) (Solute carrier family 16 member 6)	SLC16A6 MCT6 MCT7	Homo sapiens (Human)
TOX3	O15405	reviewed	TOX3_HUMAN	TOX high mobility group box family member 3 (CAG trinucleotide repeat-containing gene F9 protein) (Trinucleotide repeat-containing gene 9 protein)	TOX3 CAGF9 TNRC9	Homo sapiens (Human)
MPPED1	O15442	reviewed	MPPD1_HUMAN	Metallophosphoesterase domain-containing protein 1 (EC 3.1.-.-) (Adult brain protein 239) (239AB)	MPPED1 C22orf1 FAM1A	Homo sapiens (Human)
ST8SIA5	O15466	reviewed	SIA8E_HUMAN	Alpha-2,8-sialyltransferase 8E (EC 2.4.99.-) (Sialyltransferase 8E) (SIAT8-E) (Sialyltransferase St8Sia V) (ST8SiaV)	ST8SIA5 SIAT8E	Homo sapiens (Human)
CXorf2	O15482	reviewed	TEX28_HUMAN	Testis-specific protein TEX28	TEX28 CXorf2; TEX28P1; TEX28P2	Homo sapiens (Human)
CG1	O15504	reviewed	NUP42_HUMAN	Nucleoporin NUP42 (NLP-1) (NUP42 homolog) (Nucleoporin hCG1) (Nucleoporin-42) (Nucleoporin-like protein 2)	NUP42 CG1 NUPL2	Homo sapiens (Human)
PER1	O15534	reviewed	PER1_HUMAN	Period circadian protein homolog 1 (hPER1) (Circadian clock protein PERIOD 1) (Circadian pacemaker protein Rigui)	PER1 KIAA0482 PER RIGUI	Homo sapiens (Human)
MEF	O15553	reviewed	MEFV_HUMAN	Pyrin (Marenostrin)	MEFV MEF TRIM20	Homo sapiens (Human)
ASAP2	O43150	reviewed	ASAP2_HUMAN	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2 (Development and differentiation-enhancing factor 2) (Paxillin-associated protein with ARF GAP activity 3) (PAG3) (Pyk2 C-terminus-associated protein) (PAP)	ASAP2 DDEF2 KIAA0400	Homo sapiens (Human)
